T_K,P_MPa,Density_kgm3,Density_RefProp_kgm3,Deviation_pct
270.00,3.483,31.673,31.673,0.000
269.99,6.897,71.135,71.135,0.000
269.99,10.370,119.993,119.993,0.000
269.98,13.799,168.172,168.172,0.000
269.99,17.261,206.727,206.727,0.000
269.98,20.698,234.853,234.853,0.000
269.99,27.618,272.887,272.887,0.000
269.99,34.543,298.051,298.051,0.000
290.01,3.453,28.415,28.415,0.000
290.01,6.903,61.993,61.993,0.000
290.01,10.354,100.346,100.346,0.000
290.00,13.789,139.581,139.581,0.000
290.01,17.271,175.201,175.201,0.000
290.01,20.693,203.883,203.883,0.000
290.01,27.600,245.666,245.666,0.000
290.01,34.506,274.016,274.016,0.000
305.00,3.484,26.894,26.894,0.000
305.00,6.899,56.941,56.941,0.000
304.99,10.343,90.415,90.415,0.000
305.00,13.792,124.842,124.842,0.000
305.01,20.707,185.026,185.026,0.000
305.00,27.586,227.534,227.534,0.000
305.02,34.472,257.481,257.481,0.000
340.00,3.450,23.264,23.264,0.000
340.00,6.902,48.440,48.440,0.000
340.03,10.350,74.948,74.948,0.000
340.03,13.799,101.844,101.844,0.000
340.02,20.699,151.983,151.983,0.000
340.03,27.588,192.645,192.645,0.000
340.00,34.486,224.033,224.033,0.000
