T_K,P_MPa,Density_kgm3
240.0,2.022,572.782
240.0,4.023,575.197
240.0,6.039,577.54
240.0,8.011,579.747
240.0,10.021,581.921
240.0,12.022,584.014
270.0,2.021,535.813
270.0,4.02,539.344
270.0,5.981,542.605
270.0,8.003,545.786
270.0,10.02,548.799
270.0,11.994,551.611
300.0,2.021,492.677
300.0,4.026,498.457
300.0,6.04,503.672
300.0,8.061,508.44
300.0,10.05,512.763
300.0,12.058,516.82
320.0,2.0,457.032
320.0,4.016,466.162
320.0,6.008,473.71
320.0,8.017,480.331
320.0,10.01,486.169
320.0,12.016,491.478
340.0,4.013,425.721
340.0,6.048,438.673
340.0,8.024,448.514
340.0,10.06,456.968
340.0,12.015,463.99
340.0,8.126,448.967
340.0,10.113,457.153
340.0,12.091,464.241
340.0,14.017,470.367
340.0,16.039,476.169
340.0,18.053,481.437
340.0,21.172,488.804
340.0,24.014,494.854
340.0,27.063,500.781
340.0,30.15,506.296
360.0,3.954,359.479
360.0,5.001,380.052
360.0,7.941,409.907
360.0,10.028,423.353
360.0,12.021,433.58
360.0,14.041,442.308
360.0,16.029,449.771
360.0,17.976,456.303
360.0,21.074,465.411
360.0,24.003,472.975
360.0,27.066,480.066
360.0,30.001,486.236
380.0,7.034,344.65
380.0,8.044,361.606
380.0,10.12,384.517
380.0,11.982,398.933
380.0,14.098,411.762
380.0,16.06,421.573
380.0,18.086,430.272
380.0,21.048,441.149
380.0,24.092,450.713
380.0,27.096,458.982
380.0,30.167,466.525
400.0,3.937,74.217
400.0,4.992,111.806
400.0,5.419,132.937
400.0,5.941,166.333
400.0,6.45,205.521
400.0,6.985,243.457
400.0,7.619,275.664
400.0,7.996,289.629
400.0,8.999,316.254
400.0,10.018,334.756
400.0,12.025,359.749
400.0,14.05,377.452
400.0,16.124,391.417
400.0,18.014,401.94
400.0,21.0,415.722
400.0,24.032,427.317
400.0,27.059,437.238
400.0,30.063,445.873
420.0,2.039,29.075
420.0,3.932,65.022
420.0,6.042,125.611
420.0,8.047,211.318
420.0,10.062,278.315
420.0,12.085,316.302
420.0,14.087,340.792
420.0,16.053,358.557
420.0,18.083,373.068
420.0,21.112,390.3
420.0,24.046,403.759
420.0,27.105,415.547
420.0,29.852,424.74
440.0,2.067,27.624
440.0,4.078,61.52
440.0,5.993,104.047
440.0,8.022,163.07
440.0,10.093,225.978
440.0,11.985,269.357
440.0,14.018,301.711
440.0,16.018,324.778
440.0,17.999,342.471
440.0,21.085,363.858
440.0,24.115,380.282
440.0,27.002,393.225
440.0,30.002,404.732
460.0,4.04,55.806
460.0,6.015,92.372
460.0,8.042,137.863
460.0,10.079,187.736
460.0,12.024,230.703
460.0,14.028,265.637
460.0,16.035,292.415
460.0,18.095,313.762
460.0,21.117,338.028
460.0,24.084,356.572
460.0,27.157,372.227
460.0,30.103,384.889
