Model,R²,Adj. R²,R (Pearson),ρ (Spearman),MAE,RMSE,MAPE (%),RMSPE (%),Max Error,Bias,MAD,IQR of Residuals,Explained Var,AIC,BIC,CV R² mean,CV R² std,Shapiro-Wilk W,Shapiro-Wilk p,Jarque-Bera p,BP p-value,Within 1σ (%),Within 2σ (%)
KNN,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-inf,-inf,0.8007,0.156,1.0,1.0,,0.0,0.0,0.0
Gradient Boosting,0.999931,0.999927,0.999965,0.998982,0.9723,1.3299,0.7482,1.7153,3.9013,-0.0,0.7827,1.653,0.999931,30.23,33.88,0.8441,0.1569,0.9727,0.347107,0.247759,0.000167,73.91,95.65
HistGradient Boosting,0.999931,0.999927,0.999965,0.998982,0.9723,1.3299,0.7482,1.7153,3.9013,-0.0,0.7827,1.653,0.999931,30.23,33.88,0.8435,0.1568,0.9727,0.347107,0.247759,0.000167,73.91,95.65
CatBoost,0.999001,0.998955,0.999514,0.998027,4.0479,5.0426,2.9497,6.959,10.0916,-0.0225,3.6351,6.9728,0.999001,152.85,156.51,0.8883,0.0909,0.979,0.566879,0.682345,0.700267,67.39,97.83
AdaBoost,0.987585,0.987008,0.994815,0.981063,14.3729,17.7796,11.0471,38.9944,36.4578,-3.1707,12.4606,26.8512,0.98798,268.78,272.44,0.6822,0.1533,0.9577,0.093263,0.349167,0.000563,56.52,97.83
Extra Trees,0.96741,0.965894,0.987893,0.997009,15.2918,28.8069,34.4245,110.8421,157.1503,-0.0,5.2587,10.492,0.96741,313.18,316.83,0.879,0.0979,0.6359,0.0,0.0,0.069461,84.78,97.83
Physics Inspired,0.957688,0.95572,0.978615,0.993463,18.3414,32.8235,46.9329,162.7419,146.0125,0.0,6.8625,13.9454,0.957688,325.19,328.84,0.896,0.0804,0.7832,1e-06,0.0,0.006991,80.43,93.48
Random Forest,0.952989,0.950802,0.978322,0.988498,20.9289,34.5981,22.4352,57.7253,134.491,0.9091,11.484,24.1997,0.953021,330.03,333.69,0.7564,0.1366,0.8384,1.6e-05,0.0,0.014193,86.96,91.3
Neural Network,0.94704,0.944577,0.973301,0.992846,15.9892,36.7219,22.1052,99.8499,192.5807,-2.339,4.9855,8.2373,0.947255,335.51,339.17,0.9508,0.0544,0.5807,0.0,0.0,0.031005,91.3,93.48
Polynomial Regression,0.943355,0.940721,0.971265,0.976195,21.6334,37.9781,28.4264,105.8276,192.3914,0.0,13.4157,27.1294,0.943355,338.6,342.26,0.7172,0.192,0.7309,0.0,0.0,0.0294,89.13,93.48
Gaussian Process,0.942956,0.940303,0.971267,0.986926,18.6585,38.1116,33.2151,111.2569,171.4388,0.0583,4.9487,10.3388,0.942956,338.93,342.59,0.8576,0.1205,0.7,0.0,0.0,0.004131,86.96,89.13
SVR,0.756315,0.74498,0.909333,0.986679,32.3618,78.7712,134.3114,456.6398,347.5613,25.4888,4.2391,8.0336,0.78183,405.72,409.38,0.7148,0.1787,0.5431,0.0,0.0,0.011062,86.96,93.48
Bayesian Ridge,0.686098,0.671498,0.82849,0.976072,70.8694,89.4025,139.4777,457.9638,289.244,-0.0,39.5537,111.0116,0.686098,417.37,421.03,0.6112,0.0667,0.8441,2.2e-05,7.1e-05,0.006028,80.43,93.48
Huber Regressor,0.595386,0.576566,0.826068,0.969288,59.0882,101.5017,186.2313,634.4719,347.5776,30.9407,28.8835,61.6808,0.632983,429.05,432.7,0.6026,0.1394,0.7118,0.0,0.0,0.000587,84.78,93.48
