Model,R²,Adj. R²,R (Pearson),ρ (Spearman),MAE,RMSE,MAPE (%),RMSPE (%),Max Error,Bias,MAD,IQR of Residuals,Explained Var,AIC,BIC,CV R² mean,CV R² std,Shapiro-Wilk W,Shapiro-Wilk p,Jarque-Bera p,BP p-value,Within 1σ (%),Within 2σ (%)
KNN,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-inf,-inf,0.9227,0.0241,1.0,1.0,,1e-06,0.0,0.0
Gaussian Process,0.99999,0.99999,0.999995,1.0,0.1968,0.261,0.2356,0.3653,0.7883,-0.0,0.1513,0.2549,0.99999,-76.59,-73.78,0.9992,0.0004,0.9548,0.227459,0.211396,0.118736,66.67,96.67
Gradient Boosting,0.999984,0.999982,0.999992,1.0,0.2367,0.34,0.2065,0.3372,0.8659,-0.0,0.1328,0.2566,0.999984,-60.72,-57.92,0.9403,0.0451,0.9457,0.129584,0.623378,0.06019,80.0,90.0
HistGradient Boosting,0.999984,0.999982,0.999992,1.0,0.2367,0.34,0.2065,0.3372,0.8659,-0.0,0.1328,0.2566,0.999984,-60.72,-57.92,0.9439,0.0412,0.9457,0.129584,0.623378,0.06019,80.0,90.0
Polynomial Regression,0.999689,0.999666,0.999845,0.998665,1.1729,1.4757,1.4471,2.3335,3.2205,-0.0,0.7027,2.0457,0.999689,27.35,30.15,0.996,0.0031,0.97,0.538729,0.907849,0.010845,66.67,96.67
Physics Inspired,0.999518,0.999483,0.999759,0.99733,1.5052,1.8373,2.0353,3.5715,3.7928,-0.0,1.4236,2.7608,0.999518,40.5,43.3,0.9962,0.0025,0.9853,0.942329,0.754206,0.109764,66.67,96.67
SVR,0.998265,0.998136,0.999316,0.99822,1.7178,3.4872,3.4855,9.8852,12.4258,0.2379,0.1999,0.2442,0.998273,78.95,81.75,0.9672,0.029,0.7285,4e-06,0.0,0.033167,86.67,93.33
AdaBoost,0.987553,0.986631,0.994313,0.996773,7.2065,9.3402,6.2378,8.7597,20.6817,-0.5304,6.8013,12.189,0.987593,138.06,140.86,0.8619,0.0682,0.9727,0.615816,0.695336,0.054087,63.33,96.67
Neural Network,0.985095,0.983991,0.994156,0.993771,7.8176,10.2208,7.5887,10.2072,29.0801,2.8021,6.2024,12.2196,0.986215,143.47,146.27,0.9795,0.0133,0.932,0.055606,0.108977,0.003543,66.67,93.33
Extra Trees,0.979354,0.977825,0.989791,0.994661,8.612,12.0293,7.2056,9.8283,26.1804,0.0,4.7979,8.2387,0.979354,153.24,156.04,0.8723,0.0494,0.9548,0.226866,0.972989,0.001715,70.0,90.0
Random Forest,0.973663,0.971713,0.987421,0.990656,10.51,13.5863,8.6415,11.536,29.0226,-0.8376,8.0381,15.4926,0.973764,160.54,163.35,0.8601,0.065,0.9664,0.446046,0.788478,0.005179,73.33,93.33
Bayesian Ridge,0.957345,0.954186,0.978445,0.981758,14.5622,17.2904,18.4983,31.2457,36.5658,0.0,12.6529,23.8324,0.957345,175.01,177.81,0.9341,0.0295,0.9745,0.668893,0.67624,0.014223,66.67,96.67
Huber Regressor,0.957168,0.953995,0.978395,0.981758,14.4082,17.3263,18.0871,30.782,36.196,0.6192,12.6995,23.195,0.957222,175.13,177.94,0.9281,0.0298,0.9786,0.787815,0.744091,0.015948,63.33,96.67
