Model,R2_train,MAE_train,RMSE_train,MAPE_train
KNN,1.0,0.0,0.0,0.0
Gaussian Process,0.9999902778382762,0.19680037194382602,0.26103755118776517,0.23558443079604563
Gradient Boosting,0.9999835041420011,0.2367046047768188,0.34002356842628434,0.20649129155588386
HistGradient Boosting,0.9999835041419157,0.23670459646739547,0.340023569306401,0.20649127593653588
Polynomial Regression,0.9996892936822719,1.17286902181847,1.475695007937768,1.4471232912798897
Physics Inspired,0.999518381611186,1.505160171977932,1.8372704766291998,2.0352844162582504
SVR,0.9982649883284658,1.7178486579661398,3.487167162611501,3.4855308895725288
CatBoost,0.9980524316602064,3.2101982884464824,3.694604195426962,3.026312704401015
AdaBoost,0.9875529347378393,7.206539841269842,9.340175775506067,6.237750714447607
Neural Network,0.9850950793735019,7.817646376225022,10.22083553184537,7.588652593642828
Extra Trees,0.9793539757293994,8.612003900000145,12.029284127079418,7.205559866862597
Random Forest,0.9736634714614272,10.50997119928572,13.5862884475683,8.64145894922641
Bayesian Ridge,0.9573451257097835,14.562191587141664,17.29043419236283,18.498280129303097
Huber Regressor,0.9571677979476039,14.408169815932679,17.32633740432762,18.087130775307543
