Model,R2_train,MAE_train,RMSE_train,MAPE_train
KNN,1.0,0.0,0.0,0.0
HistGradient Boosting,0.9999305455063612,0.9722536888658596,1.3298509789510229,0.7481653160060139
Gradient Boosting,0.999930545506352,0.9722536869256454,1.3298509790404969,0.7481653364868277
CatBoost,0.9990013658713348,4.0478871300353525,5.042617244734938,2.949702086695068
AdaBoost,0.9875853046257228,14.372881102399656,17.779552930540817,11.04714049464794
Extra Trees,0.9674097770230108,15.291772134217542,28.806896253824597,34.42454571514877
Physics Inspired,0.9576880288073084,18.341403636022427,32.82346548871732,46.93291819671593
Random Forest,0.952988967409449,20.92889507575922,34.59813571168949,22.43518923850295
Neural Network,0.9470404894681976,15.98916266851415,36.721869584301736,22.105213161773023
Polynomial Regression,0.9433551596921664,21.633353209362657,37.97807790247115,28.426444901473495
Gaussian Process,0.9429560452940934,18.65848876153599,38.111638095293735,33.2150961628699
SVR,0.7563146451673078,32.36182798434447,78.77121011700355,134.31140653910623
Bayesian Ridge,0.6860982149257483,70.86942274244068,89.40250658740001,139.4776741664895
Huber Regressor,0.5953855185723635,59.08815173783362,101.50174621350536,186.23125871256943
